X1,X2,Results
-0.180074487,-0.059356897,1
-0.185498487,-0.038195079,1
-0.158378487,0.004744921,1
-0.092664641,0.039672194,1
-0.007549564,0.058574012,1
0.068803667,0.069463103,1
0.123252282,0.065148557,1
0.140150128,0.067203103,1
0.133265821,0.073777648,1
0.111778436,0.06617583,1
0.066091667,0.063094012,1
0.009348282,0.054670376,1
-0.068465256,0.024057648,1
-0.151494179,-0.004295079,1
-0.212201256,-0.039222352,1
-0.247665872,-0.063671443,1
-0.242241872,-0.063260534,1
-0.216582179,-0.040660534,1
-0.180491718,-0.002856897,1
-0.123748333,0.044603103,1
-0.050524333,0.065559466,1
0.035633821,0.06165583,1
0.113030128,0.057752194,1
0.161011667,0.020359466,1
0.170190744,-0.01970417,1
0.148703359,-0.046207806,1
0.11657659,-0.049700534,1
0.06776059,-0.01970417,1
-0.012556333,0.018921285,1
-0.105598795,0.031864921,1
-0.204482487,0.007826739,1
-0.274577256,-0.033880534,1
-0.291057872,-0.080107806,1
-0.266858487,-0.095105988,1
-0.199267102,-0.079696897,1
-0.114986487,-0.048673261,1
-0.016102795,0.007210376,1
0.095715051,0.066997648,1
0.198771051,0.102541285,1
0.272203667,0.120210376,1
0.294316898,0.099254012,1
0.257183359,0.037412194,1
0.174154436,-0.025867806,1
0.070055359,-0.098187806,1
-0.035504025,-0.151400534,1
-0.132510179,-0.154071443,1
-0.213452949,-0.124691443,1
-0.266649872,-0.057096897,1
-0.281670179,0.015223103,1
-0.247040025,0.05939583,1
-0.169017872,0.085077648,1
-0.069925564,0.080146739,1
0.018318744,0.045219466,1
0.094671975,-0.003678715,1
0.158299667,-0.044975079,1
0.204820898,-0.069629624,1
0.236321821,-0.084422352,1
0.225682436,-0.082162352,1
0.174363051,-0.074560534,1
0.091751359,-0.051755079,1
0.003089821,-0.011485988,1
-0.063875718,0.046657648,1
-0.117698487,0.142399466,1
-0.163385256,0.215746739,1
-0.205108333,0.243688557,1
-0.223049256,0.238552194,1
-0.204482487,0.184517648,1
-0.156709564,0.099459466,1
-0.086406179,-0.002445988,1
-0.020275102,-0.106405988,1
0.035425205,-0.182629624,1
0.082155051,-0.202147806,1
0.118036898,-0.173178715,1
0.150163667,-0.087093261,1
0.162889205,0.031248557,1
0.143070744,0.120621285,1
0.097175359,0.17917583,1
0.042518128,0.184106739,1
-0.001291102,0.122059466,1
-0.035712641,0.037412194,1
-0.065544641,-0.043536897,1
-0.095376641,-0.108460534,1
-0.116864025,-0.133936897,1
-0.114986487,-0.129211443,1
-0.09224741,-0.096749624,1
-0.051150179,-0.045385988,1
-0.004420333,0.003101285,1
0.034173513,0.03227583,1
0.077565513,0.048712194,1
0.134308898,0.030632194,1
0.195641821,-0.024840534,1
0.24404059,-0.082573261,1
0.265319359,-0.154276897,1
0.262607359,-0.194135079,1
0.236947667,-0.191669624,1
0.201065821,-0.164960534,1
0.158091051,-0.10106417,1
0.092794436,-0.028949624,1
0.014355051,0.043370376,1
-0.067422179,0.093706739,1
-0.12479141,0.101924921,1
-0.140020333,0.080763103,1
-0.121036333,0.037001285,1
-0.076184025,-0.008815079,1
-0.019649256,-0.074971443,1
0.050862744,-0.134553261,1
0.126798744,-0.156125988,1
0.199814128,-0.132293261,1
0.247378436,-0.045385988,1
0.251133513,0.046657648,1
0.212331051,0.11815583,1
0.145365513,0.164383103,1
0.077356898,0.157192194,1
0.011851667,0.115690376,1
-0.050941564,0.06617583,1
-0.108728025,0.01419583,1
-0.144609872,-0.007993261,1
-0.152120025,0.008854012,1
-0.123122487,0.042959466,1
-0.072846179,0.085899466,1
-0.028202487,0.123086739,1
0.008513821,0.140344921,1
0.02708059,0.132948557,1
0.048150744,0.105417648,1
0.05148859,0.061861285,1
0.033964898,0.016044921,1
0.002463975,-0.021758715,1
-0.051984641,-0.073533261,1
-0.088075102,-0.093051443,1
-0.108728025,-0.083600534,1
-0.099966179,-0.076615079,1
-0.074306487,-0.034702352,1
-0.055531102,-0.009431443,1
-0.031957564,0.017483103,1
-0.011096025,0.055492194,1
0.028332282,0.072750376,1
0.058998744,0.090624921,1
0.064839975,0.074804921,1
0.047107667,0.033303103,1
0.004758744,-0.020320534,1
-0.029245564,-0.079491443,1
-0.050524333,-0.120582352,1
-0.056156949,-0.130033261,1
-0.066796333,-0.086476897,1
-0.083694179,-0.032647806,1
-0.088700949,0.030221285,1
-0.084320025,0.087954012,1
-0.067213564,0.09329583,1
-0.045726179,0.064532194,1
-0.035504025,-0.013951443,1
-0.033417872,-0.097982352,1
-0.025490487,-0.145236897,1
-0.018606179,-0.150578715,1
-0.006089256,-0.100242352,1
-0.005880641,0.002074012,1
-0.01631141,0.100281285,1
-0.022361256,0.171779466,1
-0.036547102,0.214308557,1
-0.033835102,0.17239583,1
-0.039259102,0.094939466,1
-0.045517564,0.006183103,1
-0.058034487,-0.068807806,1
-0.083694179,-0.077436897,1
-0.082859718,-0.030387806,1
-0.083276949,0.066997648,1
-0.06783941,0.16561583,1
-0.060955102,0.22211583,1
-0.063041256,0.211637648,1
-0.041136641,0.149384921,1
-0.00817541,0.053437648,1
0.040431975,-0.05360417,1
0.080694744,-0.105789624,1
0.101347667,-0.098393261,1
0.096132282,-0.034907806,1
0.092794436,0.056519466,1
0.091125513,0.137674012,1
0.077148282,0.190064921,1
0.039597513,0.199926739,1
-0.022361256,0.159041285,1
-0.07597541,0.068641285,1
-0.121036333,-0.018882352,1
-0.130841256,-0.112569624,1
-0.117907102,-0.167631443,1
-0.101217872,-0.183040534,1
-0.079104641,-0.184478715,1
-0.047395102,-0.138662352,1
0.00809659,-0.091613261,1
0.072558744,-0.040249624,1
0.125547051,-0.002651443,1
0.155379051,0.017688557,1
0.168521821,0.056314012,1
0.172485513,0.097199466,1
0.169564898,0.119388557,1
0.147034436,0.097404921,1
0.099887359,0.039261285,1
0.036676898,-0.050522352,1
-0.030497256,-0.143387806,1
-0.087449256,-0.182013261,1
-0.125834487,-0.172562352,1
-0.147947718,-0.096955079,1
-0.155457872,0.011319466,1
-0.151702795,0.115279466,1
-0.132510179,0.189037648,1
-0.095585256,0.196434012,1
-0.036755718,0.154726739,1
0.034382128,0.048712194,1
0.086327359,-0.07394417,1
0.120331667,-0.188176897,1
0.128884898,-0.246525988,1
0.120540282,-0.204613261,1
0.096132282,-0.102296897,1
0.040431975,0.072544921,1
-0.033000641,0.232183103,1
-0.115403718,0.324226739,1
-0.179448641,0.341484921,1
-0.206360025,0.244099466,1
-0.204899718,0.089597648,1
-0.179657256,-0.071478715,1
-0.151702795,-0.195778715,1
-0.118950179,-0.246936897,1
-0.071594487,-0.223720534,1
-0.028619718,-0.152427806,1
0.031878744,-0.068191443,1
0.072558744,-0.003473261,1
0.072350128,0.015428557,1
0.066091667,0.021181285,1
0.056078128,0.024468557,1
0.059415975,0.016044921,1
0.055660898,-0.005733261,1
0.037302744,-0.037167806,1
0.015398128,-0.062438715,1
-0.011513256,-0.086065988,1
-0.022361256,-0.077231443,1
-0.018397564,-0.059356897,1
-0.013808025,-0.055042352,1
-0.014433872,-0.048878715,1
-0.027785256,-0.057713261,1
-0.037381564,-0.041482352,1
-0.034252333,-0.020731443,1
-0.028619718,-0.005733261,1
-0.019440641,-0.011485988,1
-0.010470179,-0.06038417,1
0.004341513,-0.106200534,1
0.042100898,-0.160029624,1
0.089247975,-0.16660417,1
0.130971051,-0.12366417,1
0.154961821,-0.046618715,1
0.140358744,0.053232194,1
0.10844059,0.109937648,1
0.066926128,0.142399466,1
0.011434436,0.095144921,1
-0.053862179,0.001868557,1
-0.135013564,-0.086682352,1
-0.202187718,-0.191669624,1
-0.236400641,-0.22084417,1
-0.224300949,-0.188176897,1
0.04355947,-0.010290521,0
0.079032803,-0.010495976,0
