start_time,action_type,vehicle_id,lane,duration
0,recv_fresh,1,4,0
0,recv_fresh,2,2,12
12,recv_fresh,3,5,12
24,recv_fresh,4,3,6
30,recv_fresh,5,4,0
30,recv_fresh,6,3,6
36,recv_fresh,7,4,0
36,recv_fresh,8,3,6
42,recv_fresh,9,1,18
60,recv_fresh,10,6,18
78,recv_fresh,11,4,0
78,recv_fresh,12,3,6
81,send_out,1,4,0
84,recv_fresh,13,2,12
87,send_out,2,2,12
96,recv_fresh,14,2,12
99,send_out,3,5,12
108,recv_fresh,15,5,12
111,send_out,4,3,6
117,send_out,5,4,0
120,recv_fresh,16,4,0
120,recv_fresh,17,5,12
123,send_out,6,3,6
129,send_out,7,4,0
132,recv_fresh,18,1,18
132,send_out,9,1,18
150,recv_fresh,19,1,18
150,send_out,8,3,6
156,send_out,10,6,18
168,recv_fresh,20,3,6
174,recv_fresh,21,4,0
174,send_out,11,4,0
174,recv_fresh,22,4,0
174,send_out,12,3,6
174,recv_fresh,23,3,6
180,recv_fresh,24,6,18
180,send_out,13,2,12
195,send_out,14,2,12
198,recv_fresh,25,3,6
204,recv_fresh,26,4,0
204,recv_fresh,27,3,6
207,send_out,15,5,12
210,recv_fresh,28,4,0
210,recv_fresh,29,2,12
219,send_out,16,4,0
222,recv_fresh,30,4,0
222,send_out,17,5,12
222,recv_fresh,31,3,6
228,recv_fresh,32,4,0
228,recv_fresh,33,5,12
234,send_out,18,1,18
240,recv_fresh,34,2,12
252,recv_fresh,35,3,6
252,send_out,20,3,6
258,recv_fresh,36,5,12
258,send_out,19,1,18
270,recv_fresh,37,3,6
276,recv_fresh,38,1,18
276,send_out,21,4,0
276,send_out,23,3,6
282,send_out,24,6,18
294,recv_fresh,39,6,18
300,send_out,22,4,0
300,send_out,25,3,6
306,send_out,29,2,12
312,recv_fresh,40,2,12
318,send_out,26,4,0
318,send_out,27,3,6
324,recv_fresh,41,1,18
324,send_out,33,5,12
336,send_out,28,4,0
336,send_out,34,2,12
342,recv_fresh,42,2,12
348,send_out,31,3,6
354,recv_fresh,43,4,0
354,send_out,30,4,0
354,recv_fresh,44,5,12
354,send_out,36,5,12
366,recv_fresh,45,4,0
366,send_out,35,3,6
366,recv_fresh,46,5,12
372,send_out,32,4,0
372,send_out,38,1,18
378,recv_fresh,47,6,18
390,send_out,37,3,6
396,recv_fresh,48,1,18
396,send_out,39,6,18
414,recv_fresh,49,6,18
414,send_out,40,2,12
426,send_out,41,1,18
432,recv_fresh,50,3,6
438,recv_fresh,51,3,6
444,recv_fresh,52,4,0
444,send_out,42,2,12
444,recv_fresh,53,2,12
456,recv_fresh,54,3,6
456,send_out,43,4,0
456,send_out,44,5,12
462,recv_fresh,55,2,12
468,send_out,45,4,0
468,send_out,47,6,18
474,recv_fresh,56,4,0
474,recv_fresh,57,4,0
474,recv_fresh,58,3,6
480,recv_fresh,59,3,6
486,recv_fresh,60,4,0
486,send_out,46,5,12
486,recv_fresh,61,5,12
498,recv_fresh,62,4,0
498,send_out,48,1,18
498,recv_fresh,63,3,6
504,recv_fresh,64,4,0
504,recv_fresh,65,5,12
516,recv_fresh,66,4,0
516,send_out,49,6,18
516,recv_fresh,67,3,6
522,recv_fresh,68,4,0
522,recv_fresh,69,1,18
534,send_out,50,3,6
540,recv_fresh,70,3,6
540,send_out,52,4,0
540,send_out,53,2,12
546,recv_fresh,71,6,18
552,send_out,51,3,6
558,send_out,56,4,0
558,send_out,55,2,12
564,recv_fresh,72,4,0
564,recv_fresh,73,3,6
570,recv_fresh,74,4,0
570,send_out,54,3,6
570,recv_fresh,75,3,6
576,recv_fresh,76,2,12
576,send_out,57,4,0
576,send_out,61,5,12
588,recv_fresh,77,2,12
588,send_out,58,3,6
594,send_out,60,4,0
594,send_out,65,5,12
600,recv_fresh,78,5,12
606,send_out,59,3,6
612,recv_fresh,79,3,6
612,send_out,62,4,0
612,send_out,69,1,18
618,recv_fresh,80,5,12
630,recv_fresh,81,1,18
630,send_out,63,3,6
636,send_out,64,4,0
636,send_out,71,6,18
648,recv_fresh,82,4,0
648,recv_fresh,83,6,18
654,send_out,67,3,6
660,send_out,66,4,0
663,send_out,76,2,12
666,recv_fresh,84,1,18
675,send_out,70,3,6
681,send_out,68,4,0
681,send_out,77,2,12
684,recv_fresh,85,2,12
693,send_out,73,3,6
696,recv_fresh,86,3,6
699,send_out,78,5,12
702,recv_fresh,87,2,12
711,send_out,72,4,0
711,send_out,75,3,6
714,recv_fresh,88,5,12
717,send_out,80,5,12
726,recv_fresh,89,4,0
726,recv_fresh,90,5,12
729,send_out,74,4,0
729,send_out,81,1,18
738,recv_fresh,91,1,18
747,send_out,79,3,6
753,send_out,82,4,0
753,send_out,83,6,18
756,recv_fresh,92,6,18
771,send_out,84,1,18
774,recv_fresh,93,4,0
774,recv_fresh,94,6,18
789,send_out,85,2,12
792,recv_fresh,95,1,18
801,send_out,86,3,6
807,send_out,88,5,12
810,recv_fresh,96,3,6
816,recv_fresh,97,3,6
819,send_out,87,2,12
822,recv_fresh,98,2,12
831,send_out,89,4,0
831,send_out,90,5,12
834,recv_fresh,99,2,12
843,send_out,91,1,18
846,recv_fresh,100,4,0
846,recv_fresh,101,5,12
858,recv_fresh,102,4,0
858,recv_fresh,103,3,6
861,send_out,92,6,18
864,recv_fresh,104,4,0
864,recv_fresh,105,5,12
876,recv_fresh,106,3,6
879,send_out,93,4,0
879,send_out,94,6,18
882,recv_fresh,107,4,0
882,recv_fresh,108,4,0
