start_time,action_type,vehicle_id,lane,duration
0,recv_fresh,1,3,6
6,recv_fresh,2,4,0
6,recv_fresh,3,4,0
6,recv_fresh,4,2,12
18,recv_fresh,5,4,0
18,recv_fresh,6,5,12
30,recv_fresh,7,3,6
36,recv_fresh,8,1,18
54,recv_fresh,9,4,0
54,recv_fresh,10,4,0
54,recv_fresh,11,6,18
72,recv_fresh,12,2,12
84,recv_fresh,13,4,0
84,send_out,1,3,6
84,recv_fresh,14,4,0
84,recv_fresh,15,5,12
90,send_out,2,4,0
93,send_out,4,2,12
96,recv_fresh,16,3,6
102,recv_fresh,17,4,0
102,recv_fresh,18,4,0
102,recv_fresh,19,2,12
105,send_out,6,5,12
114,recv_fresh,20,4,0
114,recv_fresh,21,5,12
117,send_out,3,4,0
117,send_out,7,3,6
126,recv_fresh,22,3,6
126,send_out,8,1,18
132,recv_fresh,23,3,6
138,recv_fresh,24,1,18
144,send_out,5,4,0
144,send_out,11,6,18
156,recv_fresh,25,4,0
156,recv_fresh,26,6,18
162,send_out,12,2,12
174,recv_fresh,27,4,0
174,send_out,9,4,0
174,recv_fresh,28,2,12
174,send_out,15,5,12
186,recv_fresh,29,4,0
186,send_out,16,3,6
186,recv_fresh,30,5,12
192,send_out,10,4,0
192,send_out,19,2,12
198,recv_fresh,31,2,12
204,send_out,21,5,12
210,recv_fresh,32,5,12
216,send_out,22,3,6
222,recv_fresh,33,3,6
222,send_out,13,4,0
228,recv_fresh,34,4,0
228,send_out,23,3,6
228,recv_fresh,35,3,6
234,recv_fresh,36,4,0
234,send_out,14,4,0
234,recv_fresh,37,3,6
234,send_out,24,1,18
240,recv_fresh,38,4,0
240,recv_fresh,39,1,18
252,send_out,26,6,18
258,recv_fresh,40,1,18
270,send_out,28,2,12
276,recv_fresh,41,6,18
282,send_out,17,4,0
282,send_out,30,5,12
294,recv_fresh,42,4,0
294,send_out,31,2,12
294,recv_fresh,43,2,12
306,recv_fresh,44,2,12
306,send_out,18,4,0
306,send_out,32,5,12
318,recv_fresh,45,5,12
318,send_out,20,4,0
318,send_out,33,3,6
327,send_out,25,4,0
330,recv_fresh,46,4,0
330,send_out,35,3,6
330,recv_fresh,47,4,0
330,recv_fresh,48,5,12
336,send_out,27,4,0
336,send_out,39,1,18
342,recv_fresh,49,4,0
342,recv_fresh,50,3,6
348,recv_fresh,51,3,6
354,recv_fresh,52,1,18
354,send_out,29,4,0
354,send_out,37,3,6
360,send_out,40,1,18
372,recv_fresh,53,4,0
372,recv_fresh,54,3,6
378,recv_fresh,55,4,0
378,send_out,34,4,0
378,recv_fresh,56,1,18
378,send_out,41,6,18
396,recv_fresh,57,6,18
396,send_out,43,2,12
408,send_out,45,5,12
414,recv_fresh,58,2,12
420,send_out,36,4,0
420,send_out,44,2,12
426,recv_fresh,59,4,0
426,recv_fresh,60,2,12
432,send_out,38,4,0
432,send_out,50,3,6
438,recv_fresh,61,4,0
438,send_out,48,5,12
438,recv_fresh,62,5,12
450,recv_fresh,63,4,0
450,send_out,51,3,6
450,recv_fresh,64,5,12
456,send_out,52,1,18
462,recv_fresh,65,3,6
468,recv_fresh,66,3,6
474,recv_fresh,67,1,18
474,send_out,42,4,0
474,send_out,54,3,6
480,send_out,56,1,18
492,recv_fresh,68,3,6
498,recv_fresh,69,4,0
498,send_out,46,4,0
498,recv_fresh,70,1,18
498,send_out,57,6,18
516,recv_fresh,71,6,18
516,send_out,58,2,12
528,send_out,47,4,0
528,send_out,62,5,12
534,recv_fresh,72,2,12
540,send_out,60,2,12
546,recv_fresh,73,4,0
546,recv_fresh,74,4,0
546,recv_fresh,75,2,12
552,send_out,49,4,0
552,send_out,64,5,12
558,recv_fresh,76,5,12
564,send_out,53,4,0
564,send_out,65,3,6
570,recv_fresh,77,4,0
570,send_out,67,1,18
570,recv_fresh,78,4,0
570,recv_fresh,79,5,12
582,recv_fresh,80,3,6
588,recv_fresh,81,1,18
588,send_out,66,3,6
594,send_out,70,1,18
606,recv_fresh,82,3,6
612,recv_fresh,83,1,18
612,send_out,55,4,0
612,send_out,68,3,6
618,send_out,71,6,18
630,recv_fresh,84,6,18
636,send_out,72,2,12
648,recv_fresh,85,4,0
648,send_out,59,4,0
648,recv_fresh,86,4,0
648,send_out,76,5,12
648,recv_fresh,87,2,12
660,recv_fresh,88,5,12
660,send_out,61,4,0
660,send_out,75,2,12
672,recv_fresh,89,4,0
672,send_out,63,4,0
672,recv_fresh,90,4,0
672,send_out,80,3,6
672,recv_fresh,91,2,12
678,send_out,79,5,12
684,recv_fresh,92,3,6
690,recv_fresh,93,5,12
690,send_out,69,4,0
690,send_out,82,3,6
696,send_out,81,1,18
702,recv_fresh,94,3,6
708,recv_fresh,95,4,0
708,recv_fresh,96,3,6
714,recv_fresh,97,1,18
714,send_out,73,4,0
714,send_out,83,1,18
732,recv_fresh,98,4,0
732,send_out,74,4,0
732,recv_fresh,99,4,0
732,send_out,84,6,18
732,recv_fresh,100,1,18
750,recv_fresh,101,6,18
750,send_out,77,4,0
750,send_out,87,2,12
762,send_out,78,4,0
762,send_out,88,5,12
768,recv_fresh,102,2,12
774,send_out,85,4,0
774,send_out,92,3,6
780,recv_fresh,103,5,12
780,send_out,91,2,12
792,recv_fresh,104,2,12
792,send_out,86,4,0
792,send_out,94,3,6
798,send_out,93,5,12
804,recv_fresh,105,4,0
804,recv_fresh,106,3,6
810,recv_fresh,107,5,12
810,send_out,89,4,0
810,send_out,96,3,6
816,send_out,97,1,18
822,recv_fresh,108,3,6
828,recv_fresh,109,3,6
834,recv_fresh,110,1,18
834,send_out,100,1,18
852,recv_fresh,111,4,0
852,send_out,90,4,0
852,recv_fresh,112,1,18
852,send_out,101,6,18
870,recv_fresh,113,4,0
870,send_out,102,2,12
870,recv_fresh,114,6,18
882,send_out,103,5,12
888,recv_fresh,115,2,12
894,send_out,95,4,0
894,send_out,106,3,6
900,recv_fresh,116,4,0
900,send_out,104,2,12
900,recv_fresh,117,5,12
912,recv_fresh,118,4,0
912,send_out,98,4,0
912,recv_fresh,119,2,12
912,send_out,108,3,6
918,send_out,107,5,12
924,recv_fresh,120,3,6
930,recv_fresh,121,4,0
930,send_out,99,4,0
930,recv_fresh,122,4,0
930,send_out,109,3,6
930,recv_fresh,123,5,12
936,send_out,110,1,18
942,recv_fresh,124,4,0
942,recv_fresh,125,3,6
948,recv_fresh,126,3,6
954,recv_fresh,127,1,18
954,send_out,105,4,0
954,send_out,112,1,18
972,recv_fresh,128,1,18
972,send_out,114,6,18
990,recv_fresh,129,4,0
990,send_out,111,4,0
990,recv_fresh,130,6,18
990,send_out,115,2,12
1002,send_out,117,5,12
1008,recv_fresh,131,2,12
1014,send_out,113,4,0
1014,send_out,120,3,6
1020,recv_fresh,132,4,0
1020,send_out,119,2,12
1020,recv_fresh,133,5,12
1032,recv_fresh,134,2,12
1032,send_out,116,4,0
1032,send_out,123,5,12
1044,recv_fresh,135,5,12
1044,send_out,127,1,18
1056,recv_fresh,136,4,0
1056,recv_fresh,137,3,6
