position,id,type,power,drive,return_count
1,1,B,燃油,两驱,0
2,2,A,混动,两驱,0
3,3,A,混动,两驱,0
4,4,A,燃油,两驱,0
5,5,A,燃油,两驱,0
6,6,A,燃油,两驱,0
7,7,A,燃油,两驱,0
8,9,A,混动,两驱,0
9,8,A,燃油,两驱,0
10,12,A,燃油,两驱,0
11,10,A,混动,两驱,0
12,11,A,燃油,两驱,0
13,13,A,混动,两驱,0
14,16,B,燃油,两驱,0
15,14,A,混动,两驱,0
16,15,A,混动,两驱,0
17,20,A,燃油,两驱,0
18,17,A,混动,两驱,0
19,21,A,燃油,两驱,0
20,22,B,燃油,四驱,0
21,18,B,混动,两驱,0
22,26,B,燃油,四驱,0
23,23,A,燃油,两驱,0
24,19,A,混动,两驱,0
25,27,A,燃油,两驱,0
26,25,A,燃油,两驱,0
27,24,A,混动,两驱,0
28,28,A,燃油,两驱,0
29,29,A,混动,两驱,0
30,30,A,燃油,两驱,0
31,31,A,燃油,四驱,0
32,33,A,混动,两驱,0
33,32,A,燃油,两驱,0
34,35,A,燃油,四驱,0
35,34,A,混动,两驱,0
36,37,A,燃油,两驱,0
37,40,A,混动,两驱,0
38,36,A,混动,两驱,0
39,43,A,燃油,四驱,0
40,45,A,燃油,四驱,0
41,38,A,混动,两驱,0
42,39,A,混动,两驱,0
43,48,A,混动,两驱,0
44,41,A,混动,两驱,0
45,50,A,燃油,两驱,0
46,51,A,燃油,两驱,0
47,42,A,混动,两驱,0
48,52,B,燃油,两驱,0
49,54,B,燃油,两驱,0
50,44,A,混动,两驱,0
51,56,B,燃油,两驱,0
52,57,A,燃油,两驱,0
53,46,A,混动,两驱,0
54,58,B,燃油,两驱,0
55,59,A,燃油,两驱,0
56,47,A,混动,两驱,0
57,60,B,燃油,两驱,0
58,62,B,燃油,两驱,0
59,49,A,混动,两驱,0
60,64,A,燃油,四驱,0
61,63,A,燃油,两驱,0
62,53,A,混动,两驱,0
63,66,B,燃油,两驱,0
64,68,B,燃油,两驱,0
65,55,A,混动,两驱,0
66,67,A,燃油,两驱,0
67,61,A,混动,两驱,0
68,70,B,燃油,两驱,0
69,72,B,燃油,两驱,0
70,65,A,混动,两驱,0
71,73,A,燃油,两驱,0
72,75,A,燃油,两驱,0
73,69,A,混动,两驱,0
74,74,A,燃油,两驱,0
75,79,A,燃油,两驱,0
76,71,A,混动,两驱,0
77,82,A,燃油,两驱,0
78,76,A,混动,两驱,0
79,85,A,混动,两驱,0
80,86,A,燃油,两驱,0
81,77,A,混动,两驱,0
82,88,A,混动,两驱,0
83,89,A,燃油,两驱,0
84,78,A,混动,两驱,0
85,91,A,混动,两驱,0
86,80,A,混动,两驱,0
87,92,A,混动,两驱,0
88,93,A,燃油,两驱,0
89,96,A,燃油,两驱,0
90,81,A,混动,两驱,0
91,97,A,燃油,两驱,0
92,83,A,混动,两驱,0
93,99,A,混动,两驱,0
94,100,A,燃油,四驱,0
95,84,A,混动,两驱,0
96,102,A,燃油,两驱,0
97,103,A,燃油,两驱,0
98,87,A,混动,两驱,0
99,104,A,燃油,两驱,0
100,106,B,燃油,四驱,0
101,90,A,混动,两驱,0
102,107,A,燃油,两驱,0
103,108,A,燃油,两驱,0
104,94,A,混动,两驱,0
105,109,A,燃油,两驱,0
106,110,A,燃油,两驱,0
107,95,A,混动,两驱,0
108,112,A,燃油,两驱,0
109,114,A,燃油,两驱,0
110,98,A,混动,两驱,0
111,115,A,燃油,两驱,0
112,117,A,燃油,两驱,0
113,101,A,混动,两驱,0
114,116,A,燃油,两驱,0
115,119,B,燃油,两驱,0
116,105,A,混动,两驱,0
117,120,B,燃油,两驱,0
118,111,A,混动,两驱,0
119,123,A,燃油,两驱,0
120,124,A,燃油,两驱,0
121,113,A,混动,两驱,0
122,127,B,燃油,两驱,0
123,126,A,燃油,两驱,0
124,118,A,混动,两驱,0
125,128,A,燃油,两驱,0
126,130,A,燃油,两驱,0
127,121,A,混动,两驱,0
128,131,B,燃油,两驱,0
129,133,B,燃油,两驱,0
130,122,A,混动,两驱,0
131,134,A,燃油,四驱,0
132,129,A,燃油,两驱,0
133,125,A,混动,两驱,0
134,135,B,燃油,两驱,0
135,138,A,燃油,两驱,0
136,132,A,混动,两驱,0
137,139,B,燃油,两驱,0
138,140,A,燃油,两驱,0
139,136,A,混动,两驱,0
140,142,A,燃油,四驱,0
141,143,B,燃油,两驱,0
142,144,A,混动,两驱,0
143,137,B,燃油,两驱,0
144,141,B,燃油,两驱,0
145,145,A,混动,两驱,0
146,150,B,燃油,两驱,0
147,149,B,燃油,两驱,0
148,146,A,混动,两驱,0
149,154,A,燃油,两驱,0
150,156,A,燃油,两驱,0
151,148,A,混动,两驱,0
152,147,A,混动,两驱,0
153,151,A,混动,两驱,0
154,159,A,混动,两驱,0
155,160,A,燃油,两驱,0
156,152,A,混动,两驱,0
157,162,A,混动,两驱,0
158,164,A,燃油,两驱,0
159,166,A,燃油,两驱,0
160,153,A,混动,两驱,0
161,169,A,燃油,两驱,0
162,168,A,混动,两驱,0
163,155,A,混动,两驱,0
164,171,A,混动,两驱,0
165,172,A,燃油,两驱,0
166,157,A,混动,两驱,0
167,174,A,混动,两驱,0
168,158,A,混动,两驱,0
169,175,A,燃油,两驱,0
170,176,A,燃油,两驱,0
171,161,A,混动,两驱,0
172,178,B,燃油,两驱,0
173,181,A,燃油,两驱,0
174,180,A,混动,两驱,0
