position,id,type,power,drive,return_count
1,1,B,燃油,两驱,0
2,2,A,混动,两驱,0
3,3,A,混动,两驱,0
4,4,A,燃油,两驱,0
5,5,A,燃油,两驱,0
6,6,A,燃油,两驱,0
7,7,A,燃油,两驱,0
8,9,A,混动,两驱,0
9,8,A,燃油,两驱,0
10,10,A,混动,两驱,0
11,11,A,燃油,两驱,0
12,12,A,燃油,两驱,0
13,13,A,混动,两驱,0
14,14,A,混动,两驱,0
15,15,A,混动,两驱,0
16,16,B,燃油,两驱,0
17,17,A,混动,两驱,0
18,18,B,混动,两驱,0
19,20,A,燃油,两驱,0
20,19,A,混动,两驱,0
21,21,A,燃油,两驱,0
22,23,A,燃油,两驱,0
23,24,A,混动,两驱,0
24,22,B,燃油,四驱,0
25,25,A,燃油,两驱,0
26,29,A,混动,两驱,0
27,26,B,燃油,四驱,0
28,27,A,燃油,两驱,0
29,33,A,混动,两驱,0
30,28,A,燃油,两驱,0
31,34,A,混动,两驱,0
32,31,A,燃油,四驱,0
33,30,A,燃油,两驱,0
34,36,A,混动,两驱,0
35,35,A,燃油,四驱,0
36,32,A,燃油,两驱,0
37,38,A,混动,两驱,0
38,37,A,燃油,两驱,0
39,39,A,混动,两驱,0
40,40,A,混动,两驱,0
41,41,A,混动,两驱,0
42,42,A,混动,两驱,0
43,43,A,燃油,四驱,0
44,44,A,混动,两驱,0
45,45,A,燃油,四驱,0
46,47,A,混动,两驱,0
47,46,A,混动,两驱,0
48,48,A,混动,两驱,0
49,49,A,混动,两驱,0
50,50,A,燃油,两驱,0
51,52,B,燃油,两驱,0
52,53,A,混动,两驱,0
53,51,A,燃油,两驱,0
54,56,B,燃油,两驱,0
55,55,A,混动,两驱,0
56,54,B,燃油,两驱,0
57,57,A,燃油,两驱,0
58,61,A,混动,两驱,0
59,58,B,燃油,两驱,0
60,60,B,燃油,两驱,0
61,65,A,混动,两驱,0
62,59,A,燃油,两驱,0
63,62,B,燃油,两驱,0
64,69,A,混动,两驱,0
65,63,A,燃油,两驱,0
66,64,A,燃油,四驱,0
67,71,A,混动,两驱,0
68,67,A,燃油,两驱,0
69,66,B,燃油,两驱,0
70,76,A,混动,两驱,0
71,70,B,燃油,两驱,0
72,68,B,燃油,两驱,0
73,77,A,混动,两驱,0
74,73,A,燃油,两驱,0
75,78,A,混动,两驱,0
76,72,B,燃油,两驱,0
77,75,A,燃油,两驱,0
78,80,A,混动,两驱,0
79,74,A,燃油,两驱,0
80,81,A,混动,两驱,0
81,79,A,燃油,两驱,0
82,82,A,燃油,两驱,0
83,83,A,混动,两驱,0
84,84,A,混动,两驱,0
85,85,A,混动,两驱,0
86,86,A,燃油,两驱,0
87,88,A,混动,两驱,0
88,87,A,混动,两驱,0
89,89,A,燃油,两驱,0
90,90,A,混动,两驱,0
91,91,A,混动,两驱,0
92,92,A,混动,两驱,0
93,93,A,燃油,两驱,0
94,94,A,混动,两驱,0
95,95,A,混动,两驱,0
96,96,A,燃油,两驱,0
97,98,A,混动,两驱,0
98,100,A,燃油,四驱,0
99,97,A,燃油,两驱,0
100,101,A,混动,两驱,0
101,99,A,混动,两驱,0
102,102,A,燃油,两驱,0
103,103,A,燃油,两驱,0
104,105,A,混动,两驱,0
105,104,A,燃油,两驱,0
106,106,B,燃油,四驱,0
107,111,A,混动,两驱,0
108,107,A,燃油,两驱,0
109,109,A,燃油,两驱,0
110,113,A,混动,两驱,0
111,108,A,燃油,两驱,0
112,110,A,燃油,两驱,0
113,118,A,混动,两驱,0
114,112,A,燃油,两驱,0
115,114,A,燃油,两驱,0
116,121,A,混动,两驱,0
117,115,A,燃油,两驱,0
118,116,A,燃油,两驱,0
119,122,A,混动,两驱,0
120,117,A,燃油,两驱,0
121,119,B,燃油,两驱,0
122,125,A,混动,两驱,0
123,120,B,燃油,两驱,0
124,123,A,燃油,两驱,0
125,132,A,混动,两驱,0
126,124,A,燃油,两驱,0
127,126,A,燃油,两驱,0
128,127,B,燃油,两驱,0
129,128,A,燃油,两驱,0
130,136,A,混动,两驱,0
131,129,A,燃油,两驱,0
132,130,A,燃油,两驱,0
133,144,A,混动,两驱,0
134,131,B,燃油,两驱,0
135,133,B,燃油,两驱,0
136,145,A,混动,两驱,0
137,134,A,燃油,四驱,0
138,135,B,燃油,两驱,0
139,146,A,混动,两驱,0
140,137,B,燃油,两驱,0
141,147,A,混动,两驱,0
142,138,A,燃油,两驱,0
143,148,A,混动,两驱,0
144,139,B,燃油,两驱,0
145,151,A,混动,两驱,0
146,140,A,燃油,两驱,0
147,141,B,燃油,两驱,0
148,152,A,混动,两驱,0
149,153,A,混动,两驱,0
150,142,A,燃油,四驱,0
151,143,B,燃油,两驱,0
152,155,A,混动,两驱,0
153,157,A,混动,两驱,0
154,149,B,燃油,两驱,0
155,150,B,燃油,两驱,0
156,158,A,混动,两驱,0
157,159,A,混动,两驱,0
158,154,A,燃油,两驱,0
159,156,A,燃油,两驱,0
160,161,A,混动,两驱,0
161,160,A,燃油,两驱,0
162,163,A,混动,两驱,0
163,162,A,混动,两驱,0
164,164,A,燃油,两驱,0
165,165,A,混动,两驱,0
166,166,A,燃油,两驱,0
167,168,A,混动,两驱,0
168,169,A,燃油,两驱,0
169,167,A,混动,两驱,0
170,170,A,混动,两驱,0
171,171,A,混动,两驱,0
172,172,A,燃油,两驱,0
173,173,A,混动,两驱,0
174,174,A,混动,两驱,0
