position,id,type,power,drive,return_count
1,1,B,燃油,两驱,0
2,2,A,混动,两驱,0
3,3,A,混动,两驱,0
4,4,A,燃油,两驱,0
5,5,A,混动,两驱,0
6,6,A,燃油,两驱,0
7,7,A,燃油,两驱,0
8,9,A,混动,两驱,0
9,8,A,燃油,两驱,0
10,10,A,混动,两驱,0
11,12,A,燃油,两驱,0
12,11,A,燃油,两驱,0
13,13,A,混动,两驱,0
14,14,A,混动,两驱,0
15,15,A,混动,两驱,0
16,16,B,燃油,两驱,0
17,17,A,混动,两驱,0
18,18,B,混动,两驱,0
19,19,A,混动,两驱,0
20,20,A,混动,两驱,0
21,21,A,燃油,两驱,0
22,23,A,燃油,两驱,0
23,24,A,混动,两驱,0
24,22,B,燃油,四驱,0
25,25,A,混动,两驱,0
26,26,B,燃油,四驱,0
27,27,A,混动,两驱,0
28,28,A,燃油,两驱,0
29,29,A,混动,两驱,0
30,30,A,燃油,两驱,0
31,31,A,燃油,四驱,0
32,33,A,混动,两驱,0
33,32,A,燃油,两驱,0
34,34,A,混动,两驱,0
35,35,A,燃油,四驱,0
36,36,A,混动,两驱,0
37,37,A,混动,两驱,0
38,38,A,混动,两驱,0
39,39,A,混动,两驱,0
40,40,A,混动,两驱,0
41,41,A,混动,两驱,0
42,42,A,混动,两驱,0
43,43,A,燃油,四驱,0
44,44,A,混动,两驱,0
45,45,A,燃油,四驱,0
46,46,A,混动,两驱,0
47,47,A,混动,两驱,0
48,49,A,混动,两驱,0
49,48,A,混动,两驱,0
50,50,A,混动,两驱,0
51,51,A,燃油,两驱,0
52,52,B,燃油,两驱,0
53,53,A,混动,两驱,0
54,55,A,混动,两驱,0
55,54,B,燃油,两驱,0
56,56,B,燃油,两驱,0
57,59,A,混动,两驱,0
58,57,A,燃油,两驱,0
59,61,A,混动,两驱,0
60,58,B,燃油,两驱,0
61,60,B,燃油,两驱,0
62,63,A,混动,两驱,0
63,62,B,燃油,两驱,0
64,65,A,混动,两驱,0
65,64,A,燃油,四驱,0
66,66,B,燃油,两驱,0
67,67,A,混动,两驱,0
68,69,A,混动,两驱,0
69,68,B,燃油,两驱,0
70,70,B,燃油,两驱,0
71,71,A,混动,两驱,0
72,72,B,燃油,两驱,0
73,73,A,混动,两驱,0
74,74,A,混动,两驱,0
75,76,A,混动,两驱,0
76,75,A,混动,两驱,0
77,77,A,混动,两驱,0
78,78,A,混动,两驱,0
79,79,A,混动,两驱,0
80,80,A,混动,两驱,0
81,81,A,混动,两驱,0
82,82,A,混动,两驱,0
83,83,A,混动,两驱,0
84,84,A,混动,两驱,0
85,85,A,混动,两驱,0
86,86,A,混动,两驱,0
87,87,A,混动,两驱,0
88,88,A,混动,两驱,0
89,89,A,混动,两驱,0
90,90,A,混动,两驱,0
91,91,A,混动,两驱,0
92,92,A,混动,两驱,0
93,93,A,混动,两驱,0
94,94,A,混动,两驱,0
95,95,A,混动,两驱,0
96,96,A,混动,两驱,0
97,97,A,混动,两驱,0
98,98,A,混动,两驱,0
99,99,A,混动,两驱,0
100,100,A,燃油,四驱,0
101,101,A,混动,两驱,0
102,102,A,燃油,两驱,0
103,103,A,燃油,两驱,0
104,105,A,混动,两驱,0
105,104,A,燃油,两驱,0
106,106,B,燃油,四驱,0
107,111,A,混动,两驱,0
108,107,A,燃油,两驱,0
109,108,A,燃油,两驱,0
110,113,A,混动,两驱,0
111,109,A,燃油,两驱,0
112,110,A,燃油,两驱,0
113,116,A,混动,两驱,0
114,112,A,燃油,两驱,0
115,114,A,燃油,两驱,0
116,118,A,混动,两驱,0
117,115,A,燃油,两驱,0
118,117,A,燃油,两驱,0
119,121,A,混动,两驱,0
120,119,B,燃油,两驱,0
121,120,B,燃油,两驱,0
122,122,A,混动,两驱,0
123,124,A,混动,两驱,0
124,123,A,燃油,两驱,0
125,126,A,燃油,两驱,0
126,125,A,混动,两驱,0
127,127,B,燃油,两驱,0
128,128,A,燃油,两驱,0
129,129,A,混动,两驱,0
130,130,A,燃油,两驱,0
131,131,B,燃油,两驱,0
132,132,A,混动,两驱,0
133,133,B,燃油,两驱,0
134,134,A,燃油,四驱,0
135,136,A,混动,两驱,0
136,137,B,燃油,两驱,0
137,135,B,燃油,两驱,0
138,144,A,混动,两驱,0
139,138,A,燃油,两驱,0
140,139,B,燃油,两驱,0
141,145,A,混动,两驱,0
142,141,B,燃油,两驱,0
143,140,A,燃油,两驱,0
144,146,A,混动,两驱,0
145,143,B,燃油,两驱,0
146,147,A,混动,两驱,0
147,142,A,燃油,四驱,0
148,148,A,混动,两驱,0
149,149,B,燃油,两驱,0
150,151,A,混动,两驱,0
151,150,B,燃油,两驱,0
152,152,A,混动,两驱,0
153,153,A,混动,两驱,0
154,154,A,混动,两驱,0
155,155,A,混动,两驱,0
156,156,A,混动,两驱,0
157,158,A,混动,两驱,0
158,157,A,混动,两驱,0
159,159,A,混动,两驱,0
160,160,A,燃油,两驱,0
161,161,A,混动,两驱,0
162,162,A,混动,两驱,0
163,163,A,混动,两驱,0
164,164,A,混动,两驱,0
165,165,A,混动,两驱,0
166,166,A,燃油,两驱,0
167,167,A,混动,两驱,0
168,168,A,混动,两驱,0
169,169,A,混动,两驱,0
170,170,A,混动,两驱,0
171,171,A,混动,两驱,0
172,172,A,燃油,两驱,0
173,173,A,混动,两驱,0
174,174,A,混动,两驱,0
175,175,A,混动,两驱,0
176,176,A,混动,两驱,0
